repair_id,복구타입,위도,경도,주소,작업일시,구군
223,지상누수,35.8917042,128.5975066,북구 연암로12길 6-5 (산격동) / 1032-1번지,2011-04-18 18:00:00,북구
224,지상누수,35.895589,128.6002707,북구 산격로11길 45-6 (산격동) / 1161-6번지,2011-06-20 14:30:00,북구
225,지상누수,35.8939193,128.5991765,북구 연암공원로8길 7 (산격동) / 1126-17번지,2011-03-17 20:30:00,북구
226,지상누수,35.8901454,128.6032536,북구 연암로4길 36 (산격동) / 1498-26번지,2011-02-03 23:30:00,북구
227,지상누수,35.8912155,128.6042629,"북구 산격로1길 16, 브릴란떼 (산격동) / 1490-16번지",2010-10-29 12:30:00,북구
228,지상누수,35.8971507,128.6089729,북구 대동로4길 17 (산격동) / 1253-28번지,2011-02-01 16:00:00,북구
229,지상누수,35.8929917,128.6067571,북구 대학로13길 15-15 (산격동) / 1412-16번지,2010-12-03 18:00:00,북구
230,지상누수,35.8958128,128.6122184,북구 대학로 127-8 (산격동) / 1279-29번지,2011-07-12 16:30:00,북구
231,지상누수,35.8944692,128.5984373,북구 연암공원로 41-1 (산격동) / 1141-9번지,2011-03-11 12:00:00,북구
232,지상누수,35.8959434,128.6082485,북구 산격로14길 26-1 (산격동) / 1311-61번지,2011-01-15 18:10:00,북구
233,지상누수,35.8954002,128.6107026,북구 대학로25길 13-5 (산격동) / 1307-22번지,2011-01-15 22:00:00,북구
234,지상누수,35.8965336,128.5996083,"북구 연암공원로 67, 2    301   영광주택 2동 301호 (산격동) / 1165번지",2011-07-27 11:25:00,북구
235,지상누수,35.8951476,128.6104596,북구 산격로10길 45-4 (산격동) / 1307-67번지,2011-07-22 17:30:00,북구
236,지상누수,35.8944829,128.6086036,북구 산격동 1314-2,2011-02-25 20:00:00,북구
237,지상누수,35.8950431,128.5978991,북구 연암공원로7길 6-27 (산격동) / 1136-12번지,2011-08-16 14:30:00,북구
238,지상누수,35.8919762,128.6057557,북구 산격동 1421-14 미장원,2011-10-24 11:10:00,북구
239,지상누수,35.8924384,128.6066901,북구 산격로6길 14 (산격동) / 1414-76번지,2011-11-06 15:05:00,북구
240,지상누수,35.8926632,128.6087565,"북구 대학로17길 3, 김밥천국(함) (산격동) / 1393-11번지",2011-06-25 10:00:00,북구
241,지상누수,35.8968874,128.6031159,북구 산격로13길 21-5 (산격동) / 1195-94번지,2011-06-14 18:30:00,북구
242,지상누수,35.8947138,128.6112679,"북구 대학로23길 5, 봉대박스파게티 (산격동) / 1321-2번지",2011-10-28 13:00:00,북구
